phase,investor_id,brief,name,id
已完成 B 轮融资,59,美味不用等是一个基于LBS的餐厅排队解决方案APP，提供手机排队取号、查看排队实时进展、快到叫号提前提醒、手机店外点菜自助打单、手机店内点菜一键下单等服务。上海普景信息科技有限公司旗下。,美味不用等,164
已完成 B 轮融资,60,杏树林信息技术（北京）有限公司，是由医生和互联网专业人士一起创办的创业公司，专注为医学专业人士开发移动工具。我们希望为中国医生开发最专业、最贴心的临床移动应用，让行医更轻松。,杏树林,165
已完成 A 轮融资,60,凌云智能成立于2014年2月，专注于两轮纯电动汽车的研发。目前已解决了两轮汽车的核心技术，并申请了多项核心发明专利。,凌云智能,166
已完成 A 轮融资,60,Makeblock是开源硬件领域的产品和服务平台提供者。设计、生产铝型材机械元件，提供基于金属机械方案的积木式创意平台，帮助创客制作创意产品、原型机和小型机器人。,MakeBlock,167
已完成 C 轮融资,60,"销售易CRM，将移动互联、社交网络和云技术智慧融合，彻底颠覆和重构PC时代的传统CRM（客户关系管理系统），解决其复杂难用、推行困难的弊病，打造最新一代移动CRM。北京仁科互动网络技术有限公司（IngageApp Co.,Ltd.）公司旗下核心产品。",销售易,168
已完成 A 轮融资,60,MIKE CRM 是一款以联系人为核心的自动化线上营销工具，可以用简单易用的方式定制表单和邮件。,麦客,169
已完成天使轮融资,61,一个木制品建材品牌特价直销平台，涉及木地板，木门等多个品类。,好木多,170
已完成 A 轮融资,61,一个P2P网贷投资理财社交平台，提供理财产品导购、网贷资产打理和记账功能等。,投友圈,171
已完成 A 轮融资,61,一个第三方的P2P网络借贷资讯、数据服务网站，提供P2P借贷服务商导航、理财产品导航、投资回报盘点、社区服务等。,网贷天眼,172
已完成 A 轮融资,62,蔬菜B2B交易平台,比菜价,173
已完成天使轮融资,62,布料B2B交易平台，利用图像检索功能帮助采购方寻找所需的布料并撮合交易。,搜芽,174
已完成 C 轮融资,63,中国度假公寓预定和服务平台,途家,175
已完成 B 轮融资,63,房多多是领先的基于大数据的O2O移动互联网房地产营销平台,房多多,176
已完成 D 轮融资,63,中国最大的自有品牌互联网家具B2C平台,美乐乐,177
已完成 A 轮融资,63,是一款有趣的可以拍摄新旧场景合成或对比照片的创意摄影社交手机应用。,足记,178
已完成 B 轮融资,63,杏仁医生是一个手机上的医患沟通管理工具,杏仁医生,179
已完成 B 轮融资,63,中国首家基于移动互联网技术开发的手机配货平台,运满满,180
已上市,63,A股上市公司，股票代码：SZ002280,联络互动,181
已完成 A 轮融资,64,智能Wi-Fi营销系统，它由硬件+软件构成，一方面是企业级路由器，另一方面则为提供客户营销服务。,树熊网,182
已完成 A 轮融资,64,面向高校市场的网络便利店电商平台和O2O服务商。,59store,183
已完成 A 轮融资,64,化妆品正品销售平台。,尚妆网,184
已完成 A 轮融资,64,提供保健按摩等上门健康护理服务的O2O技术公司。,点到,185
已完成天使轮融资,64,硬件开发者服务平台，包括嵌入式云端平台“WildDog 云”、嵌入式开发系统“WildDog OS”、支持快速原型开发的硬件平台“WildDog HardWare”等,Wilddog野狗,186
已完成天使轮融资,64,注于发展农家乐乡村民俗旅游事业及农家乐宣传为主的网站，为中国家庭和企业的度假出行提供乡村旅游解决方案。,住两天,187
已完成 B 轮融资,66,国内最大女性社区及生理期管理工具。,美柚,188
已完成 A 轮融资,66,城市白领青年公寓。,寓见,189
已完成 A 轮融资,67,Tezign特赞是一个对接设计师与科技创业公司的平台，致力于帮你找到优秀的设计师。特赞（北京）信息科技有限公司旗下产品。,特赞,190
已完成 A 轮融资,67,,昂腾智造,191
已完成天使轮融资,68,美车美品是一个汽车用品批发特卖网站。隶属于大连亿联科技股份有限公司。,美车美品,192
已完成天使轮融资,69,婚礼猫结婚综合平台（原名淘喜猫结婚综合平台）是一家O2O模式的婚宴预订平台，为准备结婚的准新人提供婚宴酒店的在线搜索、查询和咨询服务。广州喜淘信息科技有限公司旗下网站。,婚礼猫,193
已完成 D 轮融资,69,唱吧是一个手机KTV唱歌娱乐应用。北京最淘科技有限公司旗下产品。,唱吧,194
